date,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm)
10-08-2010 14:29,0,3.424220562,0,0,0,0,3.24E-05,0
10-08-2010 14:30,0,3.424382448,0,0,0,0,3.24E-05,0
10-08-2010 14:30,0,3.424382448,0,0,0,0,3.24E-05,0
10-08-2010 14:31,0,3.424382448,0,0,0,0,0,0
10-08-2010 14:31,0.550116599,3.567489386,0.004587054,0,0.016231715,0,0.001392221,0
10-08-2010 14:32,0.550297201,3.611360312,0.009173901,0,0.03270041,0,0.001036072,0
10-08-2010 14:32,0.550116599,3.646813393,0.013760881,0,0.049349704,0,0.000874186,0
10-08-2010 14:33,0.550116599,3.676600218,0.018347733,0,0.066146816,0,0.000744677,0
10-08-2010 14:33,0.550116599,3.702340126,0.022934712,0,0.083071167,0,0.000647545,0
10-08-2010 14:34,0.550116599,3.725004196,0.027521557,0,0.100106184,0,0.00058279,0
10-08-2010 14:34,0.550116599,3.745078087,0.03210854,0,0.117240263,0,0.000453281,0
10-08-2010 14:35,0.550116599,3.763532877,0.036695391,0,0.134461982,0,0.000453281,0
10-08-2010 14:35,0.550116599,3.778588295,0.041282334,0,0.151761157,0,0.000323772,0
10-08-2010 14:36,0.550116599,3.789434671,0.045869244,0,0.169120046,0,0.000259018,0
10-08-2010 14:36,0.550116599,3.79461503,0.0504562,0,0.186515104,0,6.48E-05,0
10-08-2010 14:37,0.550116599,3.79720521,0.055043117,0,0.203927435,0,3.24E-05,0
10-08-2010 14:37,0.550116599,3.798824072,0.05963002,0,0.221349101,0,0,0
10-08-2010 14:38,0.550116599,3.800442934,0.064216918,0,0.238778016,0,3.24E-05,0
10-08-2010 14:38,0.550116599,3.802061796,0.068803845,0,0.256214382,0,0,0
10-08-2010 14:39,0.550116599,3.803842545,0.073390706,0,0.273658421,0,3.24E-05,0
10-08-2010 14:39,0.550116599,3.805785179,0.077977869,0,0.291112099,0,3.24E-05,0
10-08-2010 14:40,0.550297201,3.8078897,0.082564515,0,0.308572737,0,6.48E-05,0
10-08-2010 14:40,0.550116599,3.809832335,0.087151492,0,0.326043788,0,3.24E-05,0
10-08-2010 14:41,0.549935997,3.811774969,0.091738544,0,0.34352439,0,3.24E-05,0
10-08-2010 14:41,0.550116599,3.814203262,0.096325483,0,0.361013983,0,6.48E-05,0
10-08-2010 14:42,0.550116599,3.815984011,0.100912449,0,0.378513247,0,6.48E-05,0
10-08-2010 14:42,0.550297201,3.818250418,0.105499334,0,0.396021637,0,6.48E-05,0
10-08-2010 14:43,0.550116599,3.820193052,0.110086258,0,0.413539666,0,6.48E-05,0
10-08-2010 14:43,0.550297201,3.822297573,0.11467319,0,0.431067352,0,6.48E-05,0
10-08-2010 14:44,0.550116599,3.824402094,0.119260095,0,0.448604546,0,3.24E-05,0
10-08-2010 14:44,0.550297201,3.826830387,0.123846933,0,0.466151495,0,9.71E-05,0
10-08-2010 14:45,0.550297201,3.828934908,0.128433806,0,0.483708851,0,9.71E-05,0
10-08-2010 14:45,0.549935997,3.831201315,0.133020704,0,0.501276923,0,6.48E-05,0
10-08-2010 14:46,0.550297201,3.833791256,0.137607608,0,0.518856123,0,6.48E-05,0
10-08-2010 14:46,0.550116599,3.836381435,0.142194485,0,0.536446832,0,9.71E-05,0
10-08-2010 14:47,0.549935997,3.838971615,0.146781397,0,0.554049903,0,6.48E-05,0
10-08-2010 14:47,0.550297201,3.841885567,0.151368338,0,0.571665821,0,9.71E-05,0
10-08-2010 14:48,0.550297201,3.844799519,0.15595535,0,0.589295187,0,9.71E-05,0
10-08-2010 14:48,0.550297201,3.84771347,0.160542333,0,0.606937921,0,9.71E-05,0
10-08-2010 14:49,0.550297201,3.850951195,0.165129285,0,0.624594184,0,0.000129509,0
10-08-2010 14:49,0.550116599,3.853541374,0.169716647,0,0.642265699,0,3.24E-05,0
10-08-2010 14:50,0.550116599,3.856617212,0.174303174,0,0.659947589,0,6.48E-05,0
10-08-2010 14:50,0.550116599,3.85969305,0.178890109,0,0.677644693,0,9.71E-05,0
10-08-2010 14:51,0.549935997,3.862607002,0.183476517,0,0.695353184,0,9.71E-05,0
10-08-2010 14:51,0.550116599,3.865520954,0.188063032,0,0.713075439,0,9.71E-05,0
10-08-2010 14:52,0.550116599,3.868434906,0.192649321,0,0.730810282,0,9.71E-05,0
10-08-2010 14:52,0.550116599,3.871348858,0.197236267,0,0.748560971,0,9.71E-05,0
10-08-2010 14:53,0.549935997,3.873939037,0.201823235,0,0.766324815,0,6.48E-05,0
10-08-2010 14:53,0.550297201,3.877014875,0.206410164,0,0.784101286,0,9.71E-05,0
10-08-2010 14:54,0.549935997,3.879281282,0.210997111,0,0.801890366,0,3.24E-05,0
10-08-2010 14:54,0.550297201,3.882195234,0.215584081,0,0.819691669,0,9.71E-05,0
10-08-2010 14:55,0.549935997,3.884461641,0.220171103,0,0.837504836,0,0,0
10-08-2010 14:55,0.550116599,3.887051821,0.22475808,0,0.855328867,0,0.000129509,0
10-08-2010 14:56,0.550116599,3.889156342,0.229345028,0,0.873163328,0,6.48E-05,0
10-08-2010 14:56,0.550116599,3.891260862,0.23393194,0,0.891007394,0,3.24E-05,0
10-08-2010 14:57,0.550116599,3.893203497,0.238518956,0,0.908861043,0,3.24E-05,0
10-08-2010 14:57,0.550116599,3.894984245,0.243105932,0,0.92672295,0,6.48E-05,0
10-08-2010 14:58,0.549935997,3.896279335,0.247692906,0,0.944591995,0,0,0
10-08-2010 14:58,0.550116599,3.897898197,0.252279825,0,0.962467918,0,6.48E-05,0
10-08-2010 14:59,0.549935997,3.899193287,0.256866771,0,0.980350376,0,3.24E-05,0
10-08-2010 14:59,0.550116599,3.900488377,0.261454001,0,0.998239744,0,3.24E-05,0
10-08-2010 15:00,0.550297201,3.90162158,0.266040634,0,1.016132237,0,3.24E-05,0
10-08-2010 15:00,0.550297201,3.902592897,0.270627593,0,1.034031144,0,0,0
10-08-2010 15:01,0.549935997,3.903564215,0.275214559,0,1.051934911,0,0,0
10-08-2010 15:01,0.550297201,3.904697418,0.279801542,0,1.069843491,0,3.24E-05,0
10-08-2010 15:02,0.550116599,3.905668736,0.284388482,0,1.087756278,0,3.24E-05,0
10-08-2010 15:02,0.550116599,3.906801939,0.288975363,0,1.105673337,0,3.24E-05,0
10-08-2010 15:03,0.550297201,3.90761137,0.293562244,0,1.12359482,0,6.48E-05,0
10-08-2010 15:03,0.550297201,3.908582687,0.298149081,0,1.141520447,0,6.48E-05,0
10-08-2010 15:04,0.550116599,3.909392118,0.302735926,0,1.159450552,0,0,0
10-08-2010 15:04,0.550116599,3.910525322,0.307322841,0,1.177385334,0,6.48E-05,0
10-08-2010 15:05,0.550116599,3.911496639,0.311909798,0,1.19532458,0,3.24E-05,0
10-08-2010 15:05,0.550116599,3.91230607,0.316496733,0,1.213268182,0,0,0
10-08-2010 15:06,0.550116599,3.913277388,0.321083624,0,1.23121603,0,3.24E-05,0
10-08-2010 15:06,0.550116599,3.91408658,0.325670486,0,1.249168232,0,-3.24E-05,0
10-08-2010 15:07,0.550297201,3.91538167,0.33025752,0,1.26712566,0,3.24E-05,0
10-08-2010 15:07,0.549935997,3.916191101,0.334844383,0,1.285086735,0,0,0
10-08-2010 15:08,0.550297201,3.917324305,0.339431252,0,1.303052546,0,3.24E-05,0
10-08-2010 15:08,0.550116599,3.918133736,0.344018186,0,1.321023275,0,0,0
10-08-2010 15:09,0.550116599,3.919428825,0.348605117,0,1.338998663,0,3.24E-05,0
10-08-2010 15:09,0.550116599,3.920562029,0.353192392,0,1.356980258,0,6.48E-05,0
10-08-2010 15:10,0.550116599,3.921533346,0.357779056,0,1.374964203,0,6.48E-05,0
10-08-2010 15:10,0.550297201,3.92266655,0.362365934,0,1.392953908,0,6.48E-05,0
10-08-2010 15:11,0.550116599,3.923799753,0.366952848,0,1.410948785,0,6.48E-05,0
10-08-2010 15:11,0.549935997,3.924609184,0.371539692,0,1.428948499,0,0,0
10-08-2010 15:12,0.550116599,3.925904274,0.376126636,0,1.446953808,0,6.48E-05,0
10-08-2010 15:12,0.550297201,3.927037477,0.380713628,0,1.464964423,0,-3.24E-05,0
10-08-2010 15:13,0.550116599,3.928332567,0.385300586,0,1.482980316,0,3.24E-05,0
10-08-2010 15:13,0.550116599,3.929303885,0.389887597,0,1.501001784,0,3.24E-05,0
10-08-2010 15:14,0.550116599,3.930598974,0.394474449,0,1.51902812,0,0,0
10-08-2010 15:14,0.550116599,3.931894064,0.399061383,0,1.537060271,0,9.71E-05,0
10-08-2010 15:15,0.550297201,3.933189154,0.403648305,0,1.555098015,0,6.48E-05,0
